Date,Directories,Files,"Lines of Code (LOC)","Cyclomatic Complexity / Lines of Code","Comment Lines of Code (CLOC)","Non-Comment Lines of Code (NCLOC)",Namespaces,Interfaces,Traits,Classes,"Abstract Classes","Concrete Classes","Average Class Length (NCLOC)",Methods,"Non-Static Methods","Static Methods","Public Methods","Non-Public Methods","Average Method Length (NCLOC)","Cyclomatic Complexity / Number of Methods","Anonymous Functions",Functions,Constants,"Global Constants","Class Constants"
"Wed Nov 9 09:42:52 2011 -0800",117,578,201730,0.063361346903726,59656,142074,0,5,0,904,11,893,159.92367256637,5106,4731,375,4549,557,28.313944379162,2.7166079122601,0,35,108,83,25
"Sun Oct 23 21:23:06 2011 -0400",117,577,201076,0.063389035639117,59490,141586,0,5,0,903,11,892,159.51495016611,5084,4718,366,4528,556,28.332415420928,2.7193154996066,0,35,107,83,24
"Thu Oct 20 08:57:49 2011 +0200",117,577,200598,0.063415186790155,59370,141228,0,5,0,903,11,892,159.09523809524,5066,4703,363,4514,552,28.358270825109,2.7216739044611,0,35,107,83,24
"Tue Oct 18 12:24:35 2011 +0200",117,576,199222,0.063363506431634,58589,140633,0,4,0,907,10,897,156.80926130099,4942,4583,359,4396,546,28.779036827195,2.7563739376771,0,35,107,83,24
"Tue Oct 18 11:36:30 2011 +0200",117,575,198737,0.064772670434652,58786,139951,0,4,0,906,10,896,154.6059602649,4927,4568,359,4385,542,28.429673229146,2.7929774710777,0,35,107,83,24
"Fri Sep 9 20:40:32 2011 -0400",117,573,198168,0.063398061724422,58353,139815,0,4,0,905,10,895,155.54806629834,4903,4544,359,4363,540,28.711197226188,2.7607587191515,0,35,107,83,24
"Tue Sep 6 02:37:18 2011 +0100",117,573,198018,0.063516714736593,58291,139727,0,4,0,905,10,895,153.88066298343,4900,4541,359,4360,540,28.420816326531,2.7640816326531,0,35,107,83,24
"Sat Sep 3 19:12:06 2011 -0430",117,573,198018,0.063516714736593,58291,139727,0,4,0,905,10,895,153.88066298343,4900,4541,359,4360,540,28.420816326531,2.7640816326531,0,35,107,83,24
"Sat Sep 3 14:31:02 2011 -0430",117,573,197963,0.063334263772286,58244,139719,0,4,0,904,10,894,154.15818584071,4894,4535,359,4354,540,28.475480179812,2.7609317531671,0,35,107,83,24
"Fri Sep 2 00:19:37 2011 +0200",117,575,199276,0.064465599122801,58829,140447,0,4,0,908,10,898,155.0231277533,4970,4607,363,4425,545,28.322132796781,2.7718309859155,0,35,107,83,24
"Thu Sep 1 00:38:08 2011 +0100",117,575,199175,0.064163856518832,58613,140562,0,4,0,906,10,896,154.80022075055,4929,4570,359,4385,544,28.453844593224,2.7829174274701,0,35,107,83,24
"Mon Aug 29 16:54:22 2011 -0430",117,575,198790,0.064221818311415,58495,140295,0,4,0,905,10,895,155.26740331492,4910,4551,359,4366,544,28.618533604888,2.7873727087576,0,35,107,83,24
"Sun Aug 21 09:56:23 2011 -0400",117,575,198790,0.064221818311415,58495,140295,0,4,0,905,10,895,155.26740331492,4910,4551,359,4366,544,28.618533604888,2.7873727087576,0,35,107,83,24
